Date ,Time,Amount,Transaction Type,Device Type,Country,Region,Ip_Address,Is Foreign Transaction?,Is High Risk Country,Has Fraud History,Device Trust Score,User Age,User Tenure,Numer of Previous transactions,Average Transaction Amount,Time since last transaction,Risk Score,Transaction Amount (z Score),Is Fraud
26-01-2025,12:52:00,12.88,deposit,tablet,Nigeria,Africa,85.172.115.234,1,0,0,0.52,38,44,838,103.56,86.35,12.3648,-0.894266702,0
11-03-2025,05:56:00,6.05,purchase,mobile,Mexico,North America,50.185.129.93,1,0,0,0.68,47,29,56,136.3,168.82,3.872,-0.951774237,0
28-02-2025,12:16:00,0.64,purchase,tablet,Mexico,North America,180.158.232.71,1,0,0,0.89,33,116,145,106.41,564.64,0.1408,-0.997325595,0
23-03-2025,08:38:00,47.71,purchase,tablet,China,Asia,200.120.43.233,1,0,0,0.88,25,50,29,141.99,248.72,11.4504,-0.601003528,0
12-03-2025,00:07:00,129.59,withdrawal,desktop,Germany,Europe,196.91.127.157,0,0,0,0.85,44,20,56,100.19,223.01,19.4385,0.088413315,0
08-06-2025,13:01:00,157.3,deposit,desktop,France,Europe,44.167.122.203,1,0,0,0.73,50,8,232,163.31,146.03,84.942,0.321727198,0
26-01-2025,02:08:00,72.45,deposit,tablet,Japan,Asia,140.11.98.88,1,0,1,0.85,60,100,52,53.07,85.26,21.735,-0.392696583,0
23-04-2025,07:00:00,138.37,deposit,tablet,United Kingdom,Europe,137.185.142.85,1,0,0,0.76,29,44,944,114.21,429.54,66.4176,0.162339547,0
19-02-2025,16:42:00,53.54,withdrawal,tablet,France,Europe,198.143.166.187,1,0,0,0.49,60,16,886,63.47,4.72,54.6108,-0.551915836,0
30-01-2025,11:41:00,132.24,purchase,mobile,Russia,Europe/Asia,48.163.59.44,1,0,0,0.62,62,69,514,114.56,832.34,100.5024,0.110725902,0
21-03-2025,12:58:00,4.97,withdrawal,desktop,Japan,Asia,107.92.107.248,1,0,0,0.66,59,178,289,112.85,440.74,3.3796,-0.960867669,0
07-01-2025,22:50:00,59.46,deposit,mobile,UAE,Middle East,174.126.232.236,1,0,0,0.56,69,115,187,125.84,115.51,52.3248,-0.502070359,0
15-06-2025,05:34:00,187.76,withdrawal,desktop,Saudi Arabia,Middle East,216.215.230.177,1,0,0,0.74,40,125,749,116.79,545.55,97.6352,0.578195652,0
05-02-2025,16:28:00,194.95,transfer,mobile,Indonesia,Asia,200.118.134.229,1,0,1,0.86,71,141,679,122.3,124.58,54.586,0.638734332,0
06-02-2025,19:23:00,151.12,purchase,desktop,United Kingdom,Europe,41.153.36.195,1,0,0,1,63,72,567,121.9,114.69,0,0.269692561,0
07-06-2025,02:54:00,27.41,purchase,tablet,Russia,Europe/Asia,206.71.44.140,1,0,0,0.65,56,129,547,96.17,110.22,19.187,-0.771926365,0
10-03-2025,19:08:00,34.08,deposit,tablet,France,Europe,137.84.125.230,1,0,0,0.66,63,20,799,97.44,154.02,23.1744,-0.715766005,0
16-01-2025,06:27:00,665.27,withdrawal,desktop,Indonesia,Asia,207.74.192.149,1,0,0,0.89,68,103,460,167.42,526.02,146.3594,4.598755456,0
03-05-2025,11:44:00,13.09,deposit,tablet,Indonesia,Asia,215.32.238.219,1,0,0,0.65,68,115,159,86.39,90.24,9.163,-0.892498534,0
05-02-2025,10:26:00,23.91,withdrawal,tablet,Saudi Arabia,Middle East,132.40.172.254,1,0,0,0.92,18,153,26,85.55,289.6,3.8256,-0.80139582,0
17-05-2025,11:02:00,16.72,transfer,mobile,Singapore,Asia,13.115.5.214,1,0,0,0.75,24,29,748,131.79,54.17,8.36,-0.8619345,0
27-02-2025,00:43:00,47.64,purchase,desktop,China,Asia,49.109.74.156,1,0,0,0.7,53,18,736,100.19,1353.94,28.584,-0.601592917,0
25-03-2025,10:04:00,28.31,purchase,tablet,Indonesia,Asia,135.63.199.235,1,0,0,0.72,42,117,305,139.53,75.61,15.8536,-0.764348506,0
05-03-2025,02:31:00,82.62,withdrawal,desktop,France,Europe,133.99.30.24,1,0,0,1,38,88,316,79.95,535.94,0,-0.307066767,0
13-06-2025,08:13:00,77.56,purchase,mobile,Saudi Arabia,Middle East,154.3.157.8,1,0,0,0.74,54,70,241,121.01,80.3,40.3312,-0.349671179,1
16-03-2025,22:13:00,278.13,withdrawal,desktop,Singapore,Asia,178.205.155.206,1,0,0,0.56,74,92,818,78.11,177.92,244.7544,1.339096972,0
10-04-2025,22:47:00,4.24,deposit,mobile,China,Asia,50.232.127.97,1,0,0,1,29,62,122,120.19,90.35,0,-0.967014155,0
30-03-2025,14:23:00,46.26,transfer,mobile,India,Asia,102.214.98.74,1,0,0,0.87,49,52,700,90.34,402.56,12.0276,-0.613212302,0
18-04-2025,23:51:00,108.96,withdrawal,mobile,United States,North America,208.23.218.130,1,0,1,0.78,66,78,387,106.97,326.25,47.9424,-0.085288071,0
03-06-2025,00:41:00,111.4,transfer,tablet,Germany,Europe,188.62.101.37,0,0,0,0.31,55,154,660,86.53,37.54,76.866,-0.064743651,0
28-05-2025,19:33:00,78.5,deposit,mobile,Argentina,South America,194.220.144.196,1,0,0,0.65,73,11,952,97.86,485.33,54.95,-0.341756525,0
28-02-2025,05:49:00,202.92,deposit,desktop,Indonesia,Asia,201.38.183.71,1,0,0,0.74,33,21,885,127.31,687.43,105.5184,0.70584049,0
05-03-2025,21:00:00,7.77,deposit,desktop,Nigeria,Africa,147.32.106.209,1,0,0,0.55,18,159,687,121.73,20.5,6.993,-0.937292105,0
26-04-2025,22:26:00,202.8,withdrawal,tablet,Australia,Oceania,214.198.35.130,1,0,0,0.68,61,45,2,109.53,30.85,129.792,0.704830109,0
14-05-2025,23:59:00,81.93,transfer,tablet,Brazil,South America,34.124.12.199,1,0,0,0.6,43,109,231,161.03,18.52,65.544,-0.31287646,0
28-04-2025,14:30:00,17.23,transfer,mobile,Argentina,South America,197.224.17.99,1,0,0,0.8,74,27,575,120.71,90.21,6.892,-0.857640379,0
13-04-2025,21:36:00,260.27,purchase,mobile,Brazil,South America,60.82.18.191,1,0,0,0.88,31,162,365,85.09,833.88,62.4648,1.188718555,0
02-04-2025,11:21:00,125.71,withdrawal,mobile,Japan,Asia,100.197.236.122,1,0,0,0.87,73,50,205,94.36,63.04,32.6846,0.055744319,0
05-02-2025,22:00:00,21.43,purchase,tablet,UAE,Middle East,194.131.78.170,1,0,0,0.86,23,100,989,102.31,976.77,6.0004,-0.822277034,0
16-05-2025,19:48:00,4.11,purchase,tablet,Canada,North America,27.175.225.85,1,0,0,0.65,58,127,447,136,108.14,2.877,-0.968108735,1
28-06-2025,15:56:00,18.25,withdrawal,desktop,United States,North America,111.22.114.122,1,0,0,1,68,154,307,129.93,447.13,0,-0.849052138,0
08-02-2025,20:32:00,112.62,purchase,mobile,Brazil,South America,212.4.218.211,1,0,0,0.79,37,48,70,87.8,269.42,47.3004,-0.054471441,0
15-03-2025,23:46:00,23.71,purchase,mobile,United Kingdom,Europe,78.127.248.105,1,0,0,0.46,20,127,554,124.26,75.3,25.6068,-0.803079789,0
04-02-2025,13:18:00,30.71,purchase,desktop,United Kingdom,Europe,42.216.20.29,1,0,0,0.83,70,84,264,94.22,595.65,10.4414,-0.744140879,0
14-06-2025,10:32:00,3.06,deposit,desktop,Nigeria,Africa,75.12.193.56,1,0,0,0.63,60,78,794,76.65,13.53,2.2644,-0.976949572,0
06-06-2025,01:15:00,154.02,withdrawal,desktop,Canada,North America,25.208.175.109,1,0,0,0.71,29,133,950,119.12,3.28,89.3316,0.294110109,0
25-04-2025,02:10:00,199.52,deposit,desktop,Mexico,North America,149.180.65.128,1,0,0,0.79,50,140,74,71.38,171.33,83.7984,0.67721302,0
17-04-2025,09:58:00,191.26,purchase,mobile,Indonesia,Asia,35.109.66.173,1,0,0,0.81,66,13,934,106.86,163.12,72.6788,0.607665107,0
14-05-2025,03:59:00,16.38,purchase,tablet,South Africa,Africa,217.152.122.108,1,0,0,0.91,67,91,184,117.09,322.37,2.9484,-0.864797247,0
17-01-2025,04:02:00,280.34,deposit,mobile,China,Asia,122.197.3.43,1,0,0,0.78,62,16,876,89.14,9.56,123.3496,1.357704828,0
29-01-2025,06:50:00,133.87,purchase,desktop,India,Asia,168.14.229.246,1,0,0,0.95,18,179,65,87.27,344.1,13.387,0.124450248,0
07-01-2025,03:50:00,273.38,withdrawal,tablet,Mexico,North America,203.153.233.17,1,0,0,0.69,36,68,834,98.3,236.29,169.4956,1.299102712,0
18-05-2025,13:43:00,71.12,transfer,mobile,South Africa,Africa,163.166.18.199,1,0,0,0.91,19,141,171,153,118.89,12.8016,-0.403894975,0
26-01-2025,04:02:00,68.93,deposit,desktop,Saudi Arabia,Middle East,34.18.164.130,1,0,0,0.56,40,146,448,82.87,194.03,60.6584,-0.422334434,0
07-01-2025,02:25:00,184.2,transfer,tablet,United Kingdom,Europe,194.189.68.191,1,0,0,0.55,62,76,547,114.19,20.49,165.78,0.548221007,0
28-02-2025,23:52:00,11.75,transfer,tablet,United States,North America,183.168.176.33,1,0,0,0.82,25,147,759,86.89,176.31,4.23,-0.903781126,0
12-03-2025,03:33:00,88.3,transfer,tablet,Russia,Europe/Asia,143.228.160.43,1,1,0,0.57,51,81,705,123.88,237.33,76.938,-0.259242052,0
13-01-2025,21:19:00,217.23,deposit,mobile,Japan,Asia,85.251.112.143,1,0,0,0.88,21,42,196,69.68,309.66,52.1352,0.826328461,1
08-05-2025,03:28:00,212.77,purchase,desktop,UAE,Middle East,61.103.172.239,1,0,0,0.81,25,149,387,101.67,2.64,80.8526,0.788775955,0
02-02-2025,11:51:00,375.19,withdrawal,mobile,Brazil,South America,132.189.87.156,1,0,0,0.9,44,1,88,61.16,437.36,75.038,2.15632705,0
18-01-2025,09:14:00,143.79,purchase,mobile,Saudi Arabia,Middle East,217.14.73.75,1,0,0,0.86,43,142,311,58.56,107.3,40.2612,0.207975103,0
28-02-2025,18:01:00,27.95,withdrawal,mobile,Japan,Asia,128.80.179.53,1,1,0,0.92,50,131,768,96.56,133.22,5.472,-0.767379649,0
27-05-2025,17:51:00,2.46,purchase,tablet,Indonesia,Asia,189.228.137.198,1,0,0,0.91,60,96,337,92.9,415.22,0.4428,-0.982001478,0
04-03-2025,17:57:00,78.34,transfer,desktop,South Korea,Asia,207.163.245.52,1,0,0,0.79,57,9,923,80.77,1228.59,32.9028,-0.3431037,0
27-06-2025,08:40:00,86.51,transfer,mobile,Germany,Europe,66.5.160.38,0,0,0,0.74,62,11,153,68.86,235.94,22.4926,-0.274313573,0
19-02-2025,07:34:00,32.97,withdrawal,desktop,Canada,North America,87.146.18.130,1,0,0,0.92,65,151,315,90.22,33.72,5.2752,-0.725112032,0
30-01-2025,20:42:00,15.98,deposit,tablet,Brazil,South America,192.93.232.107,1,0,0,1,57,158,468,88.1,300.55,0,-0.868165185,0
27-05-2025,13:49:00,105.89,purchase,mobile,Singapore,Asia,33.72.86.195,1,0,0,0.71,67,175,551,136.49,2818.83,61.4162,-0.111136993,0
